stateabbr,spatial_lack_insurance,spatial_poor_mental_health
AK,11.166666666666666,17.173333333333336
AL,11.08358208955224,20.044776119402986
AR,10.968,20.961333333333332
AZ,13.326666666666666,19.233333333333334
CA,9.210344827586209,17.50344827586207
CO,10.496875,16.853125
CT,8.944444444444445,16.366666666666667
DC,6.2,14.0
DE,7.566666666666666,15.233333333333334
FL,14.991044776119402,18.237313432835823
GA,14.922012578616352,18.4125786163522
HI,5.64,14.66
IA,6.665656565656565,15.207070707070708
ID,9.638636363636364,16.913636363636364
IL,9.755882352941176,17.511764705882353
IN,8.15,18.48804347826087
KS,10.477142857142857,16.72190476190476
KY,7.0441666666666665,18.776666666666664
LA,9.734375,21.3296875
MA,3.557142857142857,16.37142857142857
MD,7.8500000000000005,16.658333333333335
ME,7.06875,17.0125
MI,6.144578313253012,17.88313253012048
MN,6.294252873563218,15.989655172413793
MO,10.446956521739132,19.22086956521739
MS,12.659756097560974,18.114634146341466
MT,7.7250000000000005,17.273214285714285
NC,11.009,16.977999999999998
ND,6.3,15.028301886792454
NE,8.692473118279569,14.561290322580646
NH,6.8,17.44
NJ,9.252380952380953,15.185714285714285
NM,12.387878787878789,17.71818181818182
NV,11.905882352941177,17.258823529411764
NY,6.324193548387097,17.153225806451612
OH,7.385227272727272,20.28068181818182
OK,11.511688311688312,19.93766233766234
OR,7.26111111111111,18.908333333333335
PA,6.501492537313434,17.146268656716416
RI,5.779999999999999,15.66
SC,13.376086956521737,17.84130434782609
SD,6.868181818181818,14.733333333333333
TN,12.523157894736842,21.15684210526316
TX,21.19763779527559,18.646850393700788
UT,9.23103448275862,17.23448275862069
VA,7.478947368421053,18.770676691729324
VT,6.085714285714286,16.264285714285712
WA,8.043589743589743,17.761538461538464
WI,6.101388888888889,16.78472222222222
WV,7.527272727272727,21.978181818181817
WY,10.365217391304348,16.534782608695654
