ZCTA,stateabbr,spatial_lack_insurance,spatial_poor_mental_health
01001,MA,3.5,16.7
01002,MA,3.5,18.7
01003,MA,3.0,26.2
01005,MA,3.6,17.4
01007,MA,2.7,15.9
01008,MA,3.3,16.9
01009,MA,3.8,18.9
01010,MA,2.9,14.8
01011,MA,3.2,17.1
01012,MA,2.6,13.3
01013,MA,7.5,19.8
01020,MA,5.6,18.2
01022,MA,5.5,17.5
01026,MA,2.8,15.5
01027,MA,3.5,16.8
01028,MA,2.8,15.2
01029,MA,2.9,16.3
01030,MA,3.2,16.4
01031,MA,3.3,17.5
01032,MA,2.4,13.8
01033,MA,3.0,15.7
01034,MA,2.9,15.6
01035,MA,2.5,14.3
01036,MA,2.6,16.2
01037,MA,3.2,15.2
01038,MA,2.7,16.4
01039,MA,2.5,15.1
01040,MA,12.1,20.0
01050,MA,3.4,17.4
01053,MA,2.6,12.2
01054,MA,2.7,13.6
01056,MA,4.6,17.3
01057,MA,3.5,17.5
01060,MA,3.2,15.5
01062,MA,3.1,15.4
01063,MA,2.7,29.6
01066,MA,3.4,17.5
01068,MA,2.9,16.9
01069,MA,4.3,18.4
01070,MA,2.7,14.1
01071,MA,3.0,18.1
01072,MA,2.5,13.9
01073,MA,2.6,16.1
01074,MA,3.8,18.9
01075,MA,3.0,17.3
01077,MA,2.9,14.9
01079,MA,4.0,20.5
01080,MA,4.5,19.6
01081,MA,3.4,17.6
01082,MA,4.7,19.2
01083,MA,3.7,17.2
01084,MA,2.6,13.1
01085,MA,4.1,18.4
01088,MA,3.1,15.1
01089,MA,5.0,17.8
01092,MA,3.6,18.2
01093,MA,2.8,15.7
01094,MA,3.2,15.8
01095,MA,2.5,14.3
01096,MA,2.4,15.7
01097,MA,3.3,17.8
01098,MA,2.5,15.6
01103,MA,13.4,22.5
01104,MA,12.4,20.3
01105,MA,17.5,24.7
01106,MA,2.2,13.9
01107,MA,20.1,23.5
01108,MA,11.1,20.4
01109,MA,10.6,22.9
01118,MA,5.6,17.3
01119,MA,7.2,20.2
01128,MA,4.8,16.9
01129,MA,5.4,17.0
01151,MA,10.0,21.2
01201,MA,4.3,17.0
01220,MA,3.9,17.6
01222,MA,3.2,16.7
01223,MA,2.9,15.3
01224,MA,3.1,16.5
01225,MA,3.0,16.2
01226,MA,3.0,16.1
01229,MA,3.0,14.0
01230,MA,3.3,14.6
01235,MA,3.5,17.2
01236,MA,2.6,13.9
01237,MA,2.9,15.6
01238,MA,2.9,14.7
01240,MA,3.0,13.5
01242,MA,3.2,13.4
01243,MA,2.7,13.9
01244,MA,2.5,15.9
01245,MA,3.1,14.1
01247,MA,4.4,19.6
01253,MA,3.2,13.5
01254,MA,2.7,14.2
01255,MA,3.1,15.4
01256,MA,3.6,17.6
01257,MA,3.1,15.4
01258,MA,2.7,14.2
01259,MA,2.6,13.7
01260,MA,3.4,14.3
01262,MA,2.8,13.3
01264,MA,2.7,12.7
01266,MA,2.4,12.7
01267,MA,2.7,16.7
01270,MA,2.7,15.4
01301,MA,4.4,17.6
01330,MA,2.4,12.8
01331,MA,4.0,18.1
01337,MA,2.8,15.9
01338,MA,2.8,14.9
01339,MA,3.2,15.1
01340,MA,3.3,14.9
01341,MA,2.2,13.8
01342,MA,3.6,15.6
01343,MA,3.8,17.6
01344,MA,3.3,16.6
01346,MA,3.2,16.4
01347,MA,3.4,16.7
01349,MA,3.4,17.2
01350,MA,3.1,15.6
01351,MA,3.3,16.2
01354,MA,3.1,15.1
01355,MA,2.3,14.7
01360,MA,3.0,15.1
01364,MA,4.6,18.7
01366,MA,2.5,14.8
01367,MA,3.4,14.6
01368,MA,3.4,17.4
01370,MA,2.8,14.7
01373,MA,2.8,14.7
01375,MA,3.4,17.5
01376,MA,4.3,17.8
01378,MA,3.2,15.1
01379,MA,3.3,14.9
01380,MA,3.7,14.5
01420,MA,6.7,19.1
01430,MA,2.8,16.6
01431,MA,2.9,14.0
01432,MA,3.5,15.4
01434,MA,4.8,14.0
01436,MA,3.7,18.1
01438,MA,2.6,16.4
01440,MA,5.1,18.5
01450,MA,2.3,13.0
01451,MA,2.0,12.4
01452,MA,3.0,16.4
01453,MA,4.8,17.3
01460,MA,2.4,13.8
01462,MA,2.9,15.6
01463,MA,2.6,14.7
01464,MA,4.2,14.5
01468,MA,3.0,16.6
01469,MA,3.1,17.0
01473,MA,3.0,14.9
01474,MA,3.0,17.0
01475,MA,3.8,18.5
01501,MA,3.0,15.2
01503,MA,2.3,16.5
01504,MA,2.9,15.9
